;2rbina2rista;basta;brb;eldzhey;face;feduk;gnoiny;guf;husky;kasta;korzh;krovostok;kunteynir;lizer;lsp;morgenshtern;noizemc;skriptonite;timati;xleb
('т', '—', ' ');0;0;0;0;0;0;0;0;0;0;0;10,99190995;0;0;0;0;0;0;0;0
('н', 'и', 'я');66,6888963;302,7762251;114,1422212;0;45,5145419;551,8763797;189,0946419;315,5133995;58,12601721;436,509054;87,68596732;274,7977489;573,0313358;133,5180333;234,057493;0;342,78271;330,6484678;118,6098921;129,7774317
('а', 'л', '.');0;0;0;0;0;0;0;0;0;14,08093723;0;0;0;0;0;0;0;0;0;0
"('т', '""', ',')";0;11,64523943;0;0;0;0;0;0;0;0;14,61432789;0;0;0;0;0;0;0;0;0
('-', 'р', 'е');0;0;0;0;0;91,97939662;0;118,3175248;0;0;0;0;0;0;21,27795391;0;0;0;0;0
('-', 'М', 'о');0;0;0;0;0;0;0;0;0;0;14,61432789;0;0;0;0;0;0;13,22593871;0;0
('м', ' ', 'и');200,0666889;174,6785914;114,1422212;814,6639511;136,5436257;183,9587932;297,1487229;256,3546371;213,1287298;253,4568701;277,6722299;395,7087584;90,47863196;467,3131165;425,5590782;161,9643031;394,2001165;211,6150194;237,2197841;194,6661476
"(' ', '""', 'К')";0;0;0;0;0;0;0;19,71958747;0;0;14,61432789;0;0;0;0;0;11,42609033;13,22593871;0;0
('у', 'ш', 'л');0;104,8071548;0;0;0;91,97939662;162,0811216;39,43917493;0;56,32374891;58,45731155;10,99190995;0;100,138525;21,27795391;0;11,42609033;0;0;0
"('""', 'Д', 'е')";0;11,64523943;0;0;0;0;13,50676013;0;0;0;0;0;0;0;0;0;5,713045167;0;0;0
('а', 'н', '?');0;0;0;0;0;0;0;0;0;7,040468614;0;0;0;0;0;0;0;0;79,07326138;0
('Б', '\n', 'П');0;0;0;0;0;0;0;0;0;7,040468614;0;0;0;0;0;0;0;0;0;0
('п', 'а', 'ф');66,6888963;0;0;0;0;0;0;0;348,7561032;7,040468614;0;0;0;16,68975416;0;0;0;0;0;0
('д', 'ю', 'к');0;0;114,1422212;0;0;0;0;0;0;0;0;0;30,15954399;0;0;0;0;0;0;0
