(',', ' ')	18784.113210446485		19350.576300548557
('е', ' ')	15456.938296907747		13683.855592623293
(' ', 'н')	15215.248729094488		14849.92894716211
(' ', 'с')	14103.985537296263		13027.749044573384
('о', ' ')	13174.879956607818		14020.281456008513
(' ', 'в')	12509.343209871518		12707.307215421397
(' ', 'т')	12216.771627781784		9441.236220430488
('н', 'е')	11513.58219048089		9573.675361220145
(' ', 'п')	11203.710723537155		12956.201462767476
('и', ' ')	10531.559314944914		10575.341506502838
('т', 'о')	10323.960696696893		11203.285708522764
('я', ' ')	10108.220956164636		8474.58272156345
(' ', 'м')	9917.413402627853		8481.433021949124
('а', ' ')	9880.77835234879		10150.622882591178
('н', 'а')	9225.926828610549		9290.529611945707
('ь', ' ')	8433.693866325824		7744.645158245744
('с', 'т')	8013.917248544903		8111.516801122841
('н', 'о')	7946.24416955719		7427.247907042945
('е', 'т')	7474.059077071496		5884.4080312921715
('й', ' ')	7131.11430084805		6688.176609877677
(' ', 'д')	6975.415337162036		6486.473320744004
(' ', 'о')	6375.516388842389		5106.518365274762
('ы', ' ')	6283.419943001967		5027.359338595886
('р', 'о')	5972.530835772702		6214.744738779017
('т', 'ь')	5799.5319872326845		6573.243792295847
('п', 'о')	5710.488462248853		7122.790112124195
(' ', 'б')	5602.10977183996		5933.121278479172
('т', ' ')	5570.562922988545		6238.340217885221
('к', 'а')	5560.386520133249		6425.581761760253
('о', 'й')	5556.824779133896		4200.756425391475
('р', 'а')	5526.804390710776		6560.304336011801
('т', 'а')	5496.27518214489		5962.80591348375
(' ', 'и')	5477.448836862595		5760.341479862781
(' ', 'к')	5427.584462871649		7548.26988052315
('т', 'е')	5421.987441301237		4571.433790705056
(' ', 'л')	5351.7702615997		3042.2945157256254
('в', 'е')	5272.3943193283985		3299.5613524319706
('л', 'а')	5197.088938199215		3936.6392882994587
('о', 'в')	5159.945067777387		4544.032589162368
('о', 'л')	5085.148506790968		5015.181026799136
('к', 'о')	5058.6898593672		5897.347487576219
('е', 'н')	5050.0399169402		5110.324087711247
('е', 'р')	5046.478175940847		4794.449125483042
('в', 'о')	5011.369586090078		5189.483114390121
('д', 'а')	4936.573025103659		4246.425094629289
(' ', 'з')	4846.003039691533		4681.0385968758055
('а', 'л')	4703.533399717401		4856.862973441385
('н', 'и')	4670.968910580456		4797.493703432229
('л', 'и')	4531.043371320149		4993.868981154824
('м', ' ')	4463.8791124752015		5191.766547852012
('р', 'и')	4392.644292488136		3478.4303069467373
('м', 'о')	4299.530206362186		4110.180231403147
('о', 'д')	4159.604667101878		4159.654623077444
('с', 'е')	4154.007645531466		3456.357116815128
('а', 'к')	4153.4988253887		4865.23556280165
('д', 'е')	4066.490580975927		4367.447068109492
('в', ' ')	4058.8582788344556		4687.888897261478
('о', 'с')	4043.5936745515132		4283.721174506835
('б', 'о')	3911.3004374326765		2508.732230130513
('о', 'т')	3905.703415862264		4690.933475210665
('у', ' ')	3903.159315148441		4479.335307742133
('г', 'о')	3889.929991436557		4162.699201026631
('п', 'р')	3877.2094878674384		3864.330562006255
('л', 'о')	3859.9096030134365		3826.273337641411
('а', 'с')	3805.974667880372		3101.663785734782
('р', 'е')	3777.9895600283107		4143.67058884421
('з', 'а')	3770.3572578868393		3937.400432786756
('л', 'е')	3700.648898328068		3390.898690907596
('л', 'ю')	3663.5050279062407		1746.0654538590406
('м', 'е')	3633.48463948312		3750.1588889117234
('к', ' ')	3606.5171719165883		3638.270649279082
('т', 'ы')	3603.9730712027645		2621.3816142504515
(' ', 'я')	3589.726107205351		3279.010451274955
(' ', 'р')	3587.1820064915273		3390.1375464202993
('о', 'р')	3575.4791432079383		4205.323292315256
('л', 'ь')	3567.846841066467		3146.571310485298
('о', 'м')	3550.546956212465		4418.443748758383
('е', 'б')	3532.229431072934		2406.738868832732
('е', 'л')	3494.0679203655773		3387.092968471112
('д', 'о')	3467.6092729418096		3159.510766769345
('и', 'т')	3447.7652873739844		4092.673908195319
(' ', 'г')	3430.465402519983		3234.102926524439
('\n', 'Н')	3280.8722805471443		3074.262584192095
('\n', 'П')	3280.3634604043796		2242.331659576606
('о', 'г')	3208.1110001317843		3492.892052205378
('б', 'е')	3202.5139785613724		2257.554549322543
('а', 'н')	3137.893820430248		3780.604668403598
('а', '\n')	3129.243878003247		2497.3150628210606
('а', 'м')	3081.9236047261247		3941.20615522324
('ю', 'б')	3073.782482441889		802.2462896109105
('в', 'с')	3056.482597587887		2829.9352037697968
('е', 'м')	3048.341475303651		3163.3164892058294
('в', 'а')	2969.4743531751137		3938.9227217613497
('е', 'с')	2945.0509863224056		3209.746302930939
(' ', 'ч')	2940.4716050375227		3548.4555997780503
(' ', 'у')	2930.295202182228		3148.0935994598917
('м', 'н')	2916.5570583275794		2332.1467090776378
('п', 'е')	2891.1160511893418		1642.549803586665
('о', 'б')	2836.6722959135127		2784.266534531984
('о', 'н')	2819.3724110595113		3082.6351735523604
('т', 'и')	2770.01685721133		2937.2565764786564
('я', '\n')	2765.437475926447		1475.0980163813515
('\n', 'Т')	2758.3139939277407		1739.9762979606655
('ь', '\n')	2757.8051737849755		1969.0807886370262
('с', 'я')	2657.058785517554		2850.486104926812
('н', 'ы')	2618.3884546674326		3263.7875615290177
('ю', ' ')	2605.6679510983136		2444.7960931975754
('н', 'я')	2591.9298072436654		2125.876553020183
('и', 'л')	2574.6299223896635		2413.5891692184036
('и', 'н')	2544.609533966543		2520.1493974399664
('а', 'т')	2538.503692253366		4299.70520874007
('\n', 'В')	2527.309649112541		2348.8918877981687
('р', 'у')	2511.027404544069		2657.9165496407018
('о', 'ч')	2486.6040376913606		1920.367541450026
('\n', 'И')	2455.057188839946		1702.6802180831185
('а', 'з')	2450.477807555063		2074.8798723712925
('с', ' ')	2445.89842627018		2459.257838456216
('и', '\n')	2439.7925845570035		1936.3515756832603
('а', ',')	2434.704383129356		2278.105450479559
('с', 'л')	2430.6338219872378		2406.738868832732
('ж', 'е')	2418.9309587036482		2490.4647624353884
('т', 'р')	2394.50759185094		2758.38762196389
(' ', 'ж')	2359.399002000172		2040.628370442933
('б', 'ы')	2345.152038002759		2346.608454336278
('у', 'д')	2336.502095575758		1924.1732638865103
('ш', 'ь')	2316.6581100079325		1693.546484235556
('д', 'н')	2275.952498586752		1625.8046248661337
('ч', 'а')	2257.1261533044562		1156.9396206912563
